iter	Passed	Remaining
402	11994	136819
403	12025	136802
404	12054	136763
405	12095	136861
406	12126	136842
407	12156	136818
408	12184	136772
409	12212	136723
410	12240	136672
411	12267	136611
412	12297	136583
413	12327	136551
414	12354	136495
415	12386	136485
416	12417	136478
417	12445	136427
418	12473	136378
419	12502	136338
420	12529	136281
421	12559	136246
422	12587	136199
423	12616	136165
424	12647	136144
425	12678	136133
426	12707	136090
427	12734	136034
428	12763	135991
429	12790	135937
430	12818	135884
431	12846	135843
432	12879	135843
433	12907	135797
434	12938	135775
435	12967	135739
436	13000	135746
437	13035	135771
438	13073	135827
439	13101	135782
440	13142	135860
441	13169	135803
442	13198	135768
443	13226	135724
444	13255	135680
445	13282	135627
446	13311	135587
447	13339	135538
448	13366	135482
449	13398	135470
450	13432	135488
451	13460	135442
452	13516	135667
453	13545	135637
454	13573	135583
455	13599	135522
456	13628	135478
457	13655	135419
458	13682	135366
459	13714	135359
460	13744	135328
461	13772	135275
462	13803	135263
463	13837	135275
464	13868	135258
465	13897	135215
466	13929	135204
467	13962	135204
468	13991	135167
469	14017	135108
470	14044	135044
471	14072	134998
472	14102	134970
473	14141	135025
474	14170	134993
475	14199	134952
476	14228	134914
477	14255	134862
478	14282	134807
479	14313	134786
480	14346	134784
481	14374	134740
482	14400	134677
483	14434	134685
484	14466	134668
485	14497	134654
486	14528	134632
487	14557	134593
488	14588	134582
489	14620	134565
490	14651	134544
491	14679	134501
492	14707	134453
493	14738	134435
494	14768	134407
495	14799	134391
496	14830	134369
497	14862	134356
498	14891	134320
499	14924	134321
500	14956	134312
501	14984	134263
502	15012	134220
503	15043	134193
504	15071	134147
505	15098	134094
506	15127	134061
507	15167	134122
508	15195	134074
509	15224	134034
510	15278	134217
511	15307	134178
512	15337	134147
513	15364	134097
514	15395	134073
515	15427	134060
516	15454	134009
517	15482	133964
518	15509	133906
519	15542	133903
520	15571	133869
521	15625	134046
522	15661	134066
523	15690	134028
524	15718	133978
525	15744	133921
526	15772	133867
527	15798	133810
528	15827	133771
529	15856	133734
530	15884	133684
531	15912	133641
532	15943	133619
533	15970	133568
534	15998	133520
535	16025	133464
536	16053	133417
537	16081	133378
538	16108	133324
539	16135	133267
540	16163	133221
541	16207	133304
542	16234	133250
543	16261	133202
544	16290	133160
545	16321	133145
546	16356	133152
547	16389	133146
548	16421	133132
549	16451	133110
550	16483	133094
551	16514	133074
552	16545	133052
553	16578	133043
554	16607	133010
555	16634	132957
556	16666	132946
557	16699	132937
558	16733	132936
559	16766	132933
560	16800	132934
561	16834	132939
562	16867	132930
563	16907	132980
564	16951	133064
565	16987	133076
566	17018	133053
567	17049	133031
568	17081	133022
569	17116	133027
570	17148	133011
571	17180	132997
572	17229	133111
573	17257	133069
574	17286	133028
575	17314	132985
576	17347	132973
577	17376	132941
578	17404	132889
579	17434	132860
580	17464	132831
581	17491	132780
582	17518	132727
583	17547	132690
584	17580	132677
585	17612	132667
586	17623	132493
587	17655	132475
588	17689	132472
589	17721	132463
590	17755	132460
591	17788	132454
592	17822	132455
593	17858	132462
594	17891	132457
595	17924	132452
596	17960	132461
597	17993	132455
598	18026	132443
599	18053	132392
600	18085	132374
601	18124	132412
602	18160	132423
603	18197	132446
604	18249	132572
605	18276	132520
606	18305	132484
607	18334	132441
608	18362	132398
609	18401	132430
610	18468	132668
611	18504	132679
612	18539	132678
613	18571	132662
614	18606	132662
615	18639	132656
616	18675	132665
617	18705	132631
618	18732	132583
619	18759	132528
620	18788	132488
621	18819	132459
622	18851	132446
623	18884	132435
624	18927	132492
625	18961	132491
626	18995	132484
627	19026	132461
628	19058	132440
629	19089	132413
630	19119	132381
631	19154	132387
