time,signal_group_1,signal_group_2
2022-06-21 14:33:27+00:00,True,True
2022-06-21 14:33:28+00:00,True,True
2022-06-21 14:33:29+00:00,True,True
2022-06-21 14:33:30+00:00,True,True
2022-06-21 14:33:31+00:00,True,True
2022-06-21 14:33:32+00:00,False,False
2022-06-21 14:33:33+00:00,False,False
2022-06-21 14:33:34+00:00,False,False
2022-06-21 14:33:35+00:00,False,False
2022-06-21 14:33:36+00:00,False,False
2022-06-21 14:33:37+00:00,False,False
2022-06-21 14:33:38+00:00,False,False
2022-06-21 14:33:39+00:00,False,False
2022-06-21 14:33:40+00:00,False,False
2022-06-21 14:33:41+00:00,False,False
2022-06-21 14:33:42+00:00,False,False
2022-06-21 14:33:43+00:00,False,False
2022-06-21 14:33:44+00:00,False,False
2022-06-21 14:33:45+00:00,False,False
2022-06-21 14:33:46+00:00,False,False
2022-06-21 14:33:47+00:00,True,False
2022-06-21 14:33:48+00:00,True,False
2022-06-21 14:33:49+00:00,True,False
2022-06-21 14:33:50+00:00,True,False
2022-06-21 14:33:51+00:00,True,False
2022-06-21 14:33:52+00:00,False,True
2022-06-21 14:33:53+00:00,False,True
2022-06-21 14:33:54+00:00,False,True
2022-06-21 14:33:55+00:00,False,True
2022-06-21 14:33:55+00:00,False,True
2022-06-21 14:33:56+00:00,False,False
2022-06-21 14:33:57+00:00,False,False
2022-06-21 14:33:58+00:00,False,False
2022-06-21 14:33:59+00:00,False,False
2022-06-21 14:34:00+00:00,False,False
2022-06-21 14:34:01+00:00,False,False
2022-06-21 14:34:02+00:00,False,False
2022-06-21 14:34:03+00:00,False,False
2022-06-21 14:34:04+00:00,False,False
2022-06-21 14:34:05+00:00,False,False
2022-06-21 14:34:06+00:00,True,False
2022-06-21 14:34:07+00:00,True,False
2022-06-21 14:34:08+00:00,True,False
2022-06-21 14:34:09+00:00,True,False
2022-06-21 14:34:10+00:00,True,False
2022-06-21 14:34:11+00:00,False,False
2022-06-21 14:34:12+00:00,False,False
2022-06-21 14:34:13+00:00,False,False
2022-06-21 14:34:14+00:00,False,True
2022-06-21 14:34:15+00:00,False,False
2022-06-21 14:34:16+00:00,False,True
2022-06-21 14:34:17+00:00,False,True
2022-06-21 14:34:18+00:00,False,True
2022-06-21 14:34:19+00:00,False,True
2022-06-21 14:34:20+00:00,False,True
2022-06-21 14:34:21+00:00,False,False
2022-06-21 14:34:22+00:00,False,False
2022-06-21 14:34:23+00:00,False,False
2022-06-21 14:34:24+00:00,False,False
2022-06-21 14:34:25+00:00,False,False
2022-06-21 14:34:26+00:00,True,False
2022-06-21 14:34:27+00:00,True,False
2022-06-21 14:34:28+00:00,True,False
2022-06-21 14:34:29+00:00,True,False
2022-06-21 14:34:30+00:00,True,False
2022-06-21 14:34:31+00:00,False,False
2022-06-21 14:34:32+00:00,False,False
2022-06-21 14:34:33+00:00,False,False
2022-06-21 14:34:33+00:00,False,False
2022-06-21 14:34:34+00:00,False,False
2022-06-21 14:34:35+00:00,False,False
2022-06-21 14:34:36+00:00,False,False
2022-06-21 14:34:37+00:00,False,False
2022-06-21 14:34:38+00:00,False,False
2022-06-21 14:34:39+00:00,False,False
2022-06-21 14:34:40+00:00,False,True
2022-06-21 14:34:41+00:00,False,True
2022-06-21 14:34:42+00:00,False,True
2022-06-21 14:34:43+00:00,False,True
2022-06-21 14:34:44+00:00,False,True
2022-06-21 14:34:45+00:00,True,False
2022-06-21 14:34:46+00:00,True,False
2022-06-21 14:34:47+00:00,True,False
2022-06-21 14:34:48+00:00,True,False
2022-06-21 14:34:49+00:00,True,False
2022-06-21 14:34:50+00:00,False,False
2022-06-21 14:34:51+00:00,False,False
2022-06-21 14:34:52+00:00,False,False
2022-06-21 14:34:53+00:00,False,False
2022-06-21 14:34:54+00:00,False,False
2022-06-21 14:34:55+00:00,False,False
2022-06-21 14:34:56+00:00,False,False
2022-06-21 14:34:57+00:00,False,False
2022-06-21 14:34:58+00:00,False,False
2022-06-21 14:34:59+00:00,False,False
2022-06-21 14:35:00+00:00,False,False
2022-06-21 14:35:01+00:00,False,False
2022-06-21 14:35:02+00:00,False,False
2022-06-21 14:35:03+00:00,False,False
2022-06-21 14:35:04+00:00,False,False
2022-06-21 14:35:05+00:00,True,True
2022-06-21 14:35:06+00:00,True,True
2022-06-21 14:35:07+00:00,True,True
2022-06-21 14:35:08+00:00,True,True
2022-06-21 14:35:09+00:00,True,True
2022-06-21 14:35:10+00:00,False,False
2022-06-21 14:35:11+00:00,False,False
2022-06-21 14:35:12+00:00,False,False
2022-06-21 14:35:13+00:00,False,False
2022-06-21 14:35:14+00:00,False,False
2022-06-21 14:35:15+00:00,False,False
2022-06-21 14:35:16+00:00,False,False
2022-06-21 14:35:17+00:00,False,False
2022-06-21 14:35:18+00:00,False,False
2022-06-21 14:35:19+00:00,False,False
2022-06-21 14:35:20+00:00,False,False
2022-06-21 14:35:21+00:00,False,False
2022-06-21 14:35:22+00:00,False,False
2022-06-21 14:35:23+00:00,False,False
2022-06-21 14:35:24+00:00,False,False
2022-06-21 14:35:25+00:00,True,False
2022-06-21 14:35:26+00:00,True,False
2022-06-21 14:35:27+00:00,True,False
2022-06-21 14:35:28+00:00,True,False
2022-06-21 14:35:28+00:00,True,False
