track_moment,time,signal_group_1,signal_group_2,light_id,result
27,2022-06-21 14:33:54+00:00,False,False,3,Red light traffic is not recorded
60,2022-06-21 14:34:26+00:00,True,False,6,Red light traffic is not recorded
