iter	Logloss
0	0.6924676217
1	0.6920094443
2	0.6911953354
3	0.6904240717
4	0.689709851
5	0.6892866363
6	0.6885503685
7	0.687995642
8	0.6870333772
9	0.6862977322
10	0.685859105
11	0.6849707743
12	0.6838712623
13	0.6831178216
14	0.6826270062
15	0.6819994319
16	0.6814516535
17	0.6810055168
18	0.6804952101
19	0.6800530134
20	0.679472284
21	0.6788286449
22	0.6783512376
23	0.6778228149
24	0.6772755129
25	0.676898118
26	0.676492153
27	0.6758813247
28	0.6750635774
29	0.6745064597
30	0.6740900326
31	0.673837768
32	0.6734894671
33	0.6729315175
34	0.6725312115
35	0.6721790447
36	0.6718996615
37	0.671526358
38	0.6711527836
39	0.67046156
40	0.6698203501
41	0.6692546747
42	0.668710436
43	0.6682041616
44	0.6676264586
45	0.6672354665
46	0.6668399425
47	0.6664574922
48	0.665909214
49	0.6654859623
50	0.6649936465
51	0.6645615005
52	0.6639669219
53	0.6636259195
54	0.6633976031
55	0.6630161217
56	0.6626342314
57	0.6623390829
58	0.6619858357
59	0.6615158784
60	0.6610325758
61	0.6605612104
62	0.6600312904
63	0.6592501294
64	0.658763892
65	0.6581273449
66	0.6577439536
67	0.6572340623
68	0.6560862404
69	0.6557675592
70	0.6554711196
71	0.6551274644
72	0.6546510195
73	0.6544183821
74	0.6539177127
75	0.6535423885
76	0.6529102093
77	0.6526825964
78	0.652490412
79	0.6521368843
80	0.6516739108
81	0.6512658908
82	0.6509083177
83	0.6504822698
84	0.6499245265
85	0.6493920491
86	0.6491683919
87	0.6487827291
88	0.6485474208
89	0.6481121632
90	0.6477691506
91	0.6473677361
92	0.6470265397
93	0.6467182232
94	0.6461913628
95	0.6458592639
96	0.645590253
97	0.6451035306
98	0.6449644847
99	0.6447446469
100	0.6444898142
101	0.6442596074
102	0.6439796053
103	0.6425295595
104	0.6421766682
105	0.6416939733
106	0.6412651729
107	0.6408484421
108	0.64058558
109	0.6401628321
110	0.6398512108
111	0.6379051139
112	0.6376662283
113	0.6373768852
114	0.6371351613
115	0.6369483177
116	0.6365242103
117	0.6362923922
118	0.635912206
119	0.6355573425
120	0.6353421463
121	0.6350669506
122	0.6347300192
123	0.6343121326
124	0.634025655
125	0.6337318811
126	0.6334556143
127	0.6333112068
128	0.6329157122
129	0.6324273747
130	0.632226258
131	0.6319300613
132	0.6316382865
133	0.6312250669
134	0.630914989
135	0.6305957442
136	0.6301467542
137	0.6295541047
138	0.6294046865
139	0.6290256184
140	0.6286998874
141	0.6284181133
142	0.6281313306
143	0.6279793068
144	0.6277469468
145	0.6273381615
146	0.6271849657
147	0.6268762738
148	0.6267017833
149	0.6263875818
150	0.6261301467
151	0.6255930035
152	0.6253017984
153	0.6251323326
154	0.6249862328
155	0.6246961867
156	0.6245002443
157	0.6242151131
158	0.6237180787
159	0.6232165091
160	0.6230063675
161	0.622647612
162	0.6224711563
163	0.6221689636
164	0.6220587334
165	0.6219005717
166	0.6216256633
167	0.62138861
168	0.6212713747
169	0.6209590438
170	0.6206784128
171	0.6202844403
172	0.6199800373
173	0.6197571438
174	0.6195844238
175	0.6194521284
176	0.6192401114
177	0.6190404699
178	0.6188015915
179	0.6185555796
180	0.6183184216
181	0.6179980978
182	0.6177558979
183	0.6175892835
184	0.6173396362
185	0.6170928046
186	0.616955616
187	0.6167823496
188	0.616435891
189	0.6161493563
190	0.6159167881
191	0.6156630538
192	0.6151995724
193	0.6149876572
194	0.614694704
195	0.6145669575
196	0.6143056228
197	0.6136423922
198	0.6134646736
199	0.6132687433
200	0.6130511668
201	0.6128600871
202	0.6126727407
203	0.6124873764
204	0.6122620732
205	0.6120729351
206	0.6118124483
207	0.6116670493
208	0.6115501465
209	0.6113282975
210	0.6111695656
211	0.6109792456
212	0.6108961791
213	0.6107741868
214	0.6106278996
215	0.6105101078
216	0.6102618983
217	0.6100345105
218	0.6097977261
219	0.6096327958
220	0.6094911116
221	0.609340564
222	0.6091349079
223	0.6089952925
224	0.6088759419
225	0.6086866128
226	0.6084690558
227	0.6082898923
228	0.6081945812
229	0.6079849264
230	0.6077404101
231	0.607557911
232	0.6073790268
233	0.6071434013
234	0.6069055498
235	0.6066663903
236	0.6065824343
237	0.6061350233
238	0.6060081118
239	0.6058832075
240	0.6056948921
241	0.6042546684
242	0.6041454961
243	0.6040166539
244	0.6037469391
245	0.6035863197
246	0.603268285
247	0.6030671379
248	0.602877534
249	0.6027882324
250	0.6025899977
251	0.6023498008
252	0.6021385158
253	0.6020514198
254	0.601956541
255	0.6018115977
256	0.6016544995
257	0.601572419
258	0.6013887744
259	0.6012409223
260	0.6009731367
261	0.600862076
262	0.600595122
263	0.6004925607
264	0.6003860542
265	0.6001614906
266	0.5999669842
267	0.5998257798
268	0.5997170326
269	0.5988919265
270	0.5987542763
271	0.5985525258
272	0.5984815466
273	0.5974433219
274	0.5973211265
275	0.5969597392
276	0.5968990503
277	0.5967524378
278	0.5966648265
279	0.5965776582
280	0.5964374482
281	0.5962690467
282	0.5951027448
283	0.594910232
284	0.5947747914
285	0.5946207817
286	0.5943649296
287	0.5940502824
288	0.5939569589
289	0.5938088883
290	0.5937610599
291	0.593564513
292	0.5933175629
293	0.5930499301
294	0.5925380676
295	0.5924152337
296	0.592281727
297	0.5918248519
298	0.59135235
299	0.5912638505
300	0.5911091861
301	0.5909876429
302	0.5908683802
303	0.5907126911
304	0.5906395459
305	0.5904370827
306	0.5903544797
307	0.5900582813
308	0.5898440094
309	0.5897728029
310	0.5896094533
311	0.5894495716
312	0.5893196585
313	0.5891982269
314	0.5890703971
315	0.588821592
316	0.5886897489
317	0.5885670539
318	0.5884726575
319	0.5883436374
320	0.5881735348
321	0.5879835458
322	0.5877814859
323	0.5876169418
324	0.5874095274
325	0.5872281671
326	0.5871391305
327	0.586966033
328	0.5867674632
329	0.5866682723
330	0.5865145042
331	0.5864616596
332	0.5863488938
333	0.5862317909
334	0.5860569715
335	0.5859371674
336	0.5857698882
337	0.5856858159
338	0.585573143
339	0.5853450589
340	0.5852007101
341	0.5849208495
342	0.5848274251
343	0.5847816165
344	0.5844763748
345	0.5842906431
346	0.5841531911
347	0.5840194214
348	0.5838724939
349	0.5837806231
350	0.5836554964
351	0.5827339936
352	0.5825957208
353	0.5823841427
354	0.5822037344
355	0.5819424484
356	0.5818528819
357	0.5816805233
358	0.5816009608
359	0.5814357504
360	0.5812971967
361	0.5811938932
362	0.5810904343
363	0.5810221497
364	0.580879475
365	0.5796239138
366	0.5791346842
367	0.5790273152
368	0.5788494403
369	0.5785790661
370	0.5783946011
371	0.5783170893
372	0.5781480148
373	0.5780337201
374	0.5776402801
375	0.5775579667
376	0.5774432778
377	0.5773195481
378	0.5772447409
379	0.5769933447
380	0.5768773493
381	0.5767104502
382	0.5765512357
383	0.5764786442
384	0.5763923075
385	0.5763344677
386	0.5762545683
387	0.5761685169
388	0.5760690418
389	0.5759514091
390	0.5758774001
391	0.5755125001
392	0.5754160821
393	0.5753111103
394	0.5751926144
395	0.5749677264
396	0.5744917143
397	0.5744407269
398	0.574255678
399	0.5741357241
400	0.5739217067
401	0.5737784343
402	0.5736850912
403	0.5736156674
404	0.5734135737
405	0.5733095911
406	0.5731236553
407	0.572957429
408	0.5727996022
409	0.5727019022
410	0.5726142704
411	0.5724493568
412	0.5723733332
413	0.5722062409
414	0.5721190019
415	0.5718499954
416	0.5717752001
417	0.5716722066
418	0.571515052
419	0.5714734454
420	0.571371313
421	0.5711359086
422	0.5709715014
423	0.5701726067
424	0.5700518691
425	0.569865275
426	0.5697554339
427	0.5696069175
428	0.5694242488
429	0.5691530658
430	0.569047268
431	0.568970765
432	0.5689044969
433	0.5688383858
434	0.5687716106
435	0.5686071034
436	0.5683570929
437	0.5682761164
438	0.5681309949
439	0.5680412173
440	0.567995837
441	0.5678358783
442	0.5677418615
443	0.5676248933
444	0.5675158985
445	0.5673711705
446	0.5672132131
447	0.5670557214
448	0.5669635336
449	0.5668897344
450	0.5668022969
451	0.5667148626
452	0.5661590991
453	0.5660620788
454	0.5659942003
455	0.5657787969
456	0.5656728185
457	0.5655385054
458	0.5653807068
459	0.5653088468
460	0.5652348172
461	0.5651402977
462	0.5647393756
463	0.5646619734
464	0.5641479024
465	0.5640277991
466	0.5639760696
467	0.5639185119
468	0.5638542277
469	0.5635690082
470	0.56347495
471	0.563422199
472	0.5632301847
473	0.5631380413
474	0.5630809314
475	0.5630130421
476	0.5629388925
477	0.5627122008
478	0.562644131
479	0.5625466482
480	0.5624631117
481	0.5621596519
482	0.5620555819
483	0.5619476892
484	0.5618174052
485	0.5615799753
486	0.5614763398
487	0.5613501599
488	0.5612273068
489	0.5611101162
490	0.5609737204
491	0.5608504655
492	0.5606581511
493	0.5605111661
494	0.5603069904
495	0.5596128146
496	0.5594245915
497	0.5593690125
498	0.5590881356
499	0.5589879984
500	0.558880918
501	0.5587996957
502	0.558743955
503	0.558666689
504	0.558590076
505	0.5585336149
506	0.5584701569
507	0.5583594474
508	0.5582335739
509	0.5581385509
510	0.5580721952
511	0.557990338
512	0.557886853
513	0.5577529016
514	0.5576083442
515	0.5573787549
516	0.5572685899
517	0.5570866987
518	0.5569841053
519	0.5568624388
520	0.5567206526
521	0.5565784319
522	0.5565041612
523	0.5563162027
524	0.5561690017
525	0.5552711674
526	0.5551390985
527	0.5550303371
528	0.5549008486
529	0.5547891341
530	0.5546755459
531	0.5545018856
532	0.5544453087
533	0.5542913708
534	0.5541731284
535	0.5540929879
536	0.5539778961
537	0.553902582
538	0.5538061234
539	0.5537059838
540	0.553020206
541	0.5529412483
542	0.5528901693
543	0.5526887602
544	0.5526256625
545	0.5524339632
546	0.5523034754
547	0.5522488591
548	0.5521428023
549	0.5520510354
550	0.5519051721
551	0.5518122327
552	0.5517501317
553	0.5516270618
554	0.5515553579
555	0.5514789385
556	0.5514322999
557	0.5513225862
558	0.5512054602
559	0.551095223
560	0.5510458457
561	0.5509452563
562	0.5508034289
563	0.5502019404
564	0.5501158732
565	0.5500092284
566	0.5499333336
567	0.5496491805
568	0.5495687474
569	0.5494517151
570	0.549351791
571	0.5492812186
572	0.5486078968
573	0.5485345682
574	0.5484824355
575	0.5483455029
576	0.5482808969
577	0.5481679063
578	0.5480222055
579	0.5474385038
580	0.5469639304
581	0.5465262116
582	0.5463783059
583	0.5462812664
584	0.5461799505
585	0.5460589466
586	0.5459634036
587	0.5458211623
588	0.5457060891
589	0.545628307
590	0.545537016
591	0.5455173202
592	0.5454278537
593	0.5453526766
594	0.5452444526
595	0.5449896841
596	0.5448677475
597	0.5446684253
598	0.5445898382
599	0.544529571
600	0.5444367057
601	0.5444093347
602	0.5443513574
603	0.5442704305
604	0.5441988515
605	0.5441131016
606	0.5440428184
607	0.5439679059
608	0.5438534293
609	0.5437491433
610	0.5436904113
611	0.5435823327
612	0.5434193831
613	0.5433529466
614	0.5432334475
615	0.543202931
616	0.5430842237
617	0.5429347828
618	0.5428844677
619	0.5427964103
620	0.5427059809
621	0.5425523283
622	0.5423919894
623	0.5423047644
624	0.5422038895
625	0.5421064027
626	0.5419279376
627	0.5418514894
628	0.5417854124
629	0.5417017995
630	0.5415317253
631	0.541380839
632	0.5412619803
633	0.5411968047
634	0.5411390167
635	0.5410639545
636	0.540975856
637	0.5408293176
638	0.5406883379
639	0.5406053488
640	0.5404826807
641	0.5404087744
642	0.540367678
643	0.5402946161
644	0.5402203386
645	0.5401309139
646	0.5400418851
647	0.5400034551
648	0.53990065
649	0.5397889909
650	0.5397376656
651	0.5396558283
652	0.5396021651
653	0.5395387111
654	0.5392349123
655	0.5390789714
656	0.538967292
657	0.5383888185
658	0.5383122473
659	0.5380131936
660	0.5379149785
661	0.5378446632
662	0.5376932644
663	0.5375968601
664	0.5373119537
665	0.5372198994
666	0.5370981629
667	0.5370577759
668	0.5367473923
669	0.5366361691
670	0.5365140005
671	0.5364247392
672	0.5359444815
673	0.5358220877
674	0.5357113559
675	0.5356508956
676	0.5355046648
677	0.5354190465
678	0.5353528866
679	0.5352672414
680	0.5350444315
681	0.534998819
682	0.5348561314
683	0.5348014676
684	0.5347074941
685	0.534600805
686	0.534494517
687	0.5344092863
688	0.5343220251
689	0.5342506101
690	0.5341323292
691	0.5340266431
692	0.5339287502
693	0.5338791417
694	0.5337861469
695	0.5337383294
696	0.5336303098
697	0.5336011102
698	0.5335438024
699	0.5333760685
700	0.5332637522
701	0.5332013478
702	0.5330789004
703	0.5329604197
704	0.5328697604
705	0.5327980929
706	0.5327426207
707	0.5326985377
708	0.5325005383
709	0.5324081422
710	0.5322813175
711	0.5322165586
712	0.5321228651
713	0.5320443983
714	0.5319405925
715	0.5318897308
716	0.5318075912
717	0.5317372839
718	0.5316974035
719	0.5316294152
720	0.5315396549
721	0.5314440381
722	0.531317803
723	0.5312171359
724	0.5311623043
725	0.5307772179
726	0.5303525552
727	0.5302441008
728	0.53016912
729	0.5300790681
730	0.5299482419
731	0.5298395309
732	0.5297852298
733	0.5297351012
734	0.5296249499
735	0.5295203273
736	0.5294479108
737	0.5293854443
738	0.5293288136
739	0.5292526327
740	0.5291329186
741	0.5290738502
742	0.5290318504
743	0.5289910031
744	0.5289259737
745	0.5288487914
746	0.5285058742
747	0.5284362924
748	0.5283070496
749	0.5281902215
750	0.5280760606
751	0.5279883138
752	0.5279418993
753	0.5278798893
754	0.5278427778
755	0.5277333465
756	0.5276739734
757	0.527476434
758	0.5273350119
759	0.5272451321
760	0.527153194
761	0.5270402737
762	0.5269783154
763	0.5262567829
764	0.5261472489
765	0.526084183
766	0.5260377723
767	0.5259153174
768	0.5258563722
769	0.5257598336
770	0.5256911721
771	0.5256485886
772	0.5255539612
773	0.5254990711
774	0.5254366801
775	0.5252765329
776	0.5251716015
777	0.5250726909
778	0.5250272912
779	0.5249147792
780	0.5248031018
781	0.5247029328
782	0.5243477455
783	0.5243179919
784	0.5242416836
785	0.5241797644
786	0.5241094747
787	0.5240189044
788	0.5239879169
789	0.523908252
790	0.5238142763
791	0.5236911686
792	0.5236282037
793	0.5234924859
794	0.5234224549
795	0.5233693087
796	0.5232552419
797	0.5231500495
798	0.5230988127
799	0.5229405035
800	0.522876311
801	0.5227470248
802	0.5226508028
803	0.5225732854
804	0.5224717075
805	0.5223361931
806	0.522154072
807	0.5219270831
808	0.5218239475
809	0.5217731696
810	0.5217318205
811	0.5216533047
812	0.5215649716
813	0.5214888529
814	0.5214390847
815	0.5213510875
816	0.5212712171
817	0.520594234
818	0.5205449182
819	0.5204362914
820	0.5203839855
821	0.520311175
822	0.5202692924
823	0.5201702347
824	0.5200671243
825	0.5200251535
826	0.5198736089
827	0.5197880014
828	0.5197266527
829	0.5196314084
830	0.5195780209
831	0.519552011
832	0.5195054496
833	0.5194194431
834	0.5192393886
835	0.5191962441
836	0.5189019596
837	0.5188001505
838	0.5186690449
839	0.518636461
840	0.5185363418
841	0.5184734648
842	0.5184216882
843	0.5183137686
844	0.5176201945
845	0.5175366968
846	0.5174919255
847	0.5174558086
848	0.5173826723
849	0.5173124636
850	0.5172104202
851	0.5171697143
852	0.5170000312
853	0.5169620861
854	0.5168969255
855	0.5167765547
856	0.5167370913
857	0.5166918936
858	0.516614452
859	0.5165518431
860	0.5160276482
861	0.515985396
862	0.5158834312
863	0.5156712013
864	0.5155739305
865	0.5155252892
866	0.5154751711
867	0.5153165232
868	0.5152142155
869	0.5148411232
870	0.5147592165
871	0.5146767009
872	0.5146331942
873	0.5145269358
874	0.5144249385
875	0.5143552919
876	0.5142893428
877	0.5142116777
878	0.5141346595
879	0.5140979253
880	0.5140338886
881	0.5139834923
882	0.5139393523
883	0.5138743249
884	0.5136027268
885	0.5135694648
886	0.5134950534
887	0.5134455814
888	0.5133879754
889	0.5132961848
890	0.5132464558
891	0.5131913462
892	0.5127087993
893	0.5126529124
894	0.511990426
895	0.5119426113
896	0.5119030187
897	0.5117816242
898	0.5116768537
899	0.5115610114
900	0.5115217409
901	0.5114775233
902	0.5114387863
903	0.5113493479
904	0.5113214466
905	0.5112201708
906	0.5111524971
907	0.5111134853
908	0.5110604469
909	0.5109118084
910	0.5108702455
911	0.5108460572
912	0.5104658567
913	0.5103992179
914	0.5103468329
915	0.5102729396
916	0.5101387979
917	0.5100894403
918	0.5100574598
919	0.5099749888
920	0.5099063778
921	0.5098125859
922	0.5097515896
923	0.509656153
924	0.5095818781
925	0.5094967179
926	0.5094371315
927	0.5093844227
928	0.5093637457
929	0.5092809227
930	0.5092041663
931	0.5091431823
932	0.5090422646
933	0.5089797383
934	0.5089172805
935	0.5088710313
936	0.5087799722
937	0.5087204572
938	0.5083106848
939	0.5082529301
940	0.5081863347
941	0.5081346443
942	0.5081071245
943	0.5080622566
944	0.5080075568
945	0.5079465181
946	0.5077705873
947	0.5076967953
948	0.5076363213
949	0.5071887574
950	0.5070957857
951	0.5070041968
952	0.5068961884
953	0.5068339389
954	0.5067661078
955	0.5067395647
956	0.5066845457
957	0.5066174364
958	0.5065576445
959	0.5065236653
960	0.5064557257
961	0.5064016564
962	0.506295452
963	0.5061007528
964	0.5058163271
965	0.5057637929
966	0.5054424568
967	0.5054049756
968	0.5053287716
969	0.5051901554
970	0.5051268608
971	0.5050106384
972	0.504538841
973	0.5042603489
974	0.504203954
975	0.5040847333
976	0.5040219332
977	0.5039252485
978	0.5039044912
979	0.5038026183
980	0.5036610387
981	0.5035841311
982	0.5035110546
983	0.503460101
984	0.5034218651
985	0.5033862326
986	0.5032727516
987	0.5031355833
988	0.5030538311
989	0.5029789668
990	0.5029198587
991	0.5028256236
992	0.5023553567
993	0.5022959974
994	0.5016132498
995	0.5015898027
996	0.5000052785
997	0.4999615112
998	0.4998187775
999	0.4992830656
1000	0.4992583675
1001	0.4992197953
1002	0.4991381571
1003	0.4990207454
1004	0.4989326086
1005	0.4988457814
1006	0.4988047728
1007	0.4987634627
1008	0.4987104489
1009	0.4986227668
1010	0.498537817
1011	0.4982621074
1012	0.4981833243
1013	0.498148491
1014	0.4980701639
1015	0.4979961746
1016	0.4978420893
1017	0.4977645006
1018	0.4977354444
1019	0.4976739243
1020	0.4975796119
1021	0.4975133044
1022	0.4973462733
1023	0.4972997748
1024	0.4972460219
1025	0.4971958626
1026	0.497144833
1027	0.4970965696
1028	0.4969916922
1029	0.4969473641
1030	0.4968752867
1031	0.4967599441
1032	0.4967119563
1033	0.4966320568
1034	0.496569436
1035	0.4964892001
1036	0.4964037494
1037	0.4963604632
1038	0.4963199285
1039	0.4962416071
1040	0.4961763916
1041	0.4960639739
1042	0.496012164
1043	0.4959018558
1044	0.4958605168
1045	0.4957478341
1046	0.495672463
1047	0.4956300893
1048	0.4955804924
1049	0.4954928714
1050	0.495358294
1051	0.4952144403
1052	0.4951205083
1053	0.4950608812
1054	0.4948730974
1055	0.4948172467
1056	0.494760614
1057	0.4947230103
1058	0.4946870492
1059	0.494603653
1060	0.4945117215
1061	0.4944413762
1062	0.4943371085
1063	0.4942777447
1064	0.4941947943
1065	0.4941200126
1066	0.4940923653
1067	0.4940170884
1068	0.4939707883
1069	0.4939369508
1070	0.493843586
1071	0.493738842
1072	0.4936723705
1073	0.4927838557
1074	0.4926861433
1075	0.4925921026
1076	0.4925496484
1077	0.4924688427
1078	0.4924576796
1079	0.4924061301
1080	0.4923439557
1081	0.4921571402
1082	0.4920813774
1083	0.4919648479
1084	0.4917817142
1085	0.4916997419
1086	0.4916009862
1087	0.4915573226
1088	0.4914294998
1089	0.4913780082
1090	0.49130293
1091	0.4912580701
1092	0.4912074213
1093	0.4911704351
