iter	Passed	Remaining
404	9117	103442
405	9139	103410
406	9160	103379
407	9181	103335
408	9203	103308
409	9224	103269
410	9245	103230
411	9267	103200
412	9288	103160
413	9313	103166
414	9337	103163
415	9360	103143
416	9381	103108
417	9404	103092
418	9427	103076
419	9435	102889
420	9458	102870
421	9480	102851
422	9522	103031
423	9545	103023
424	9567	102995
425	9589	102963
426	9610	102924
427	9631	102884
428	9653	102854
429	9674	102817
430	9695	102783
431	9716	102746
432	9737	102704
433	9758	102671
434	9779	102624
435	9801	102597
436	9823	102569
437	9843	102524
438	9864	102490
439	9885	102452
440	9906	102414
441	9928	102381
442	9949	102342
443	9970	102306
444	9991	102268
445	10012	102236
446	10033	102200
447	10055	102174
448	10111	102488
449	10141	102537
450	10162	102500
451	10184	102471
452	10206	102444
453	10227	102411
454	10249	102380
455	10271	102352
456	10292	102318
457	10314	102286
458	10335	102252
459	10357	102225
460	10380	102205
461	10401	102167
462	10423	102138
463	10444	102104
464	10465	102070
465	10487	102042
466	10508	102001
467	10532	101989
468	10554	101967
469	10575	101925
470	10597	101899
471	10618	101866
472	10639	101830
473	10661	101798
474	10682	101762
475	10703	101730
476	10724	101695
477	10746	101664
478	10768	101637
479	10790	101614
480	10812	101583
481	10834	101557
482	10855	101523
483	10878	101502
484	10900	101475
485	10922	101451
486	10944	101422
487	10966	101394
488	10988	101371
489	11009	101336
490	11032	101311
491	11053	101277
492	11074	101245
493	11104	101287
494	11127	101270
495	11150	101250
496	11173	101235
497	11197	101224
498	11221	101220
499	11244	101196
500	11267	101178
501	11289	101157
502	11311	101129
503	11332	101091
504	11353	101057
505	11374	101020
506	11395	100983
507	11416	100953
508	11437	100918
509	11459	100887
510	11480	100856
511	11502	100828
512	11523	100792
513	11548	100791
514	11569	100753
515	11591	100728
516	11612	100695
517	11633	100657
518	11655	100628
519	11676	100597
520	11698	100571
521	11720	100542
522	11741	100506
523	11762	100474
524	11783	100440
525	11804	100406
526	11825	100374
527	11846	100338
528	11868	100308
529	11889	100274
530	11910	100237
531	11931	100206
532	11952	100170
533	11973	100141
534	11994	100107
535	12016	100073
536	12036	100038
537	12058	100007
538	12079	99976
539	12115	100064
540	12138	100045
541	12159	100016
542	12181	99983
543	12203	99957
544	12225	99935
545	12246	99904
546	12268	99874
547	12289	99844
548	12311	99813
549	12333	99792
550	12357	99783
551	12381	99770
552	12403	99747
553	12427	99736
554	12450	99715
555	12472	99689
556	12494	99667
557	12516	99641
558	12537	99606
559	12558	99573
560	12581	99554
561	12602	99519
562	12624	99493
563	12645	99461
564	12666	99427
565	12688	99398
566	12709	99363
567	12731	99339
568	12752	99305
569	12773	99275
570	12794	99242
571	12815	99207
572	12836	99176
573	12857	99142
574	12878	99111
575	12900	99083
576	12921	99048
577	12943	99022
578	12963	98986
579	12985	98960
