iter	Logloss
0	0.6900482963
1	0.6869429155
2	0.6832636916
3	0.6803274329
4	0.6763951225
5	0.6737232958
6	0.6702702287
7	0.6669398181
8	0.6636041879
9	0.6608508118
10	0.6574943403
11	0.6545109509
12	0.6517600236
13	0.6493706974
14	0.6465845843
15	0.6440925896
16	0.6414406331
17	0.6385670178
18	0.6356632149
19	0.633444855
20	0.6313228756
21	0.6294079403
22	0.6269406548
23	0.6244463873
24	0.6224831424
25	0.6204180523
26	0.618377619
27	0.6164362364
28	0.6139284586
29	0.6119239443
30	0.6093706918
31	0.6070650631
32	0.6053371482
33	0.6035002039
34	0.6012393018
35	0.5993713365
36	0.597673372
37	0.5959437532
38	0.5935802253
39	0.592002461
40	0.5902431238
41	0.5886893648
42	0.5863015301
43	0.5846898226
44	0.5832056753
45	0.5810332925
46	0.5792908041
47	0.5780254373
48	0.5767009335
49	0.575020701
50	0.5736952043
51	0.5718852939
52	0.5706713776
53	0.5692155173
54	0.5673135534
55	0.5661697342
56	0.564749841
57	0.5635347165
58	0.5621797786
59	0.5609530155
60	0.5597991672
61	0.5586080981
62	0.5574102705
63	0.5564366502
64	0.5553546199
65	0.5543421392
66	0.55323908
67	0.5519946648
68	0.5508510352
69	0.5499210976
70	0.5489131487
71	0.5480756559
72	0.5472201828
73	0.5462789948
74	0.5454274593
75	0.5441873062
76	0.5428673757
77	0.5413063201
78	0.539809875
79	0.5388888399
80	0.5377561835
81	0.536716667
82	0.5351814453
83	0.5341660939
84	0.5333245247
85	0.5321255915
86	0.5311210569
87	0.5303828471
88	0.5294531787
89	0.5286665356
90	0.5280129724
91	0.5272817257
92	0.526264854
93	0.5253990083
94	0.5246852273
95	0.5239885586
96	0.5232743709
97	0.5222822277
98	0.5216133037
99	0.5210345051
100	0.5202382528
101	0.5193188864
102	0.5187204345
103	0.5182322185
104	0.5176636626
105	0.516907611
106	0.5158866818
107	0.5153578492
108	0.5146306187
109	0.5141053672
110	0.513438718
111	0.5129218809
112	0.5125017747
113	0.5119666941
114	0.5113417578
115	0.5109295769
116	0.5104827386
117	0.5099591081
118	0.5091477352
119	0.5085669997
120	0.5080514066
121	0.507558397
