iter	Logloss
0	0.6929962139
1	0.6926469848
2	0.6924950931
3	0.6923586833
4	0.6921114849
5	0.6918438719
6	0.6915766631
7	0.6912724618
8	0.6909422457
9	0.6905267087
10	0.6902181771
11	0.6900921907
12	0.6898333538
13	0.6894772765
14	0.6893268647
15	0.6889643452
16	0.6887704597
17	0.6886291615
18	0.688467504
19	0.6880205142
20	0.687748334
21	0.6875889416
22	0.6874157528
23	0.6873236615
24	0.687072917
25	0.6868240064
26	0.6864874869
27	0.686243027
28	0.685833376
29	0.6856137765
30	0.6854629119
31	0.6851193698
32	0.6849415339
33	0.6848404095
34	0.6844856634
35	0.6842196908
36	0.6840432095
37	0.6838000254
38	0.6836412627
39	0.6834011641
40	0.6831628698
41	0.6830438523
42	0.6828657305
43	0.6825685787
44	0.6822599995
45	0.6820598405
46	0.6817778677
47	0.6815757333
48	0.6812306833
49	0.6810793281
50	0.6808811315
51	0.680775355
52	0.6805377332
53	0.6801434238
54	0.6799469078
55	0.6798616378
56	0.6796027023
57	0.6793583875
58	0.6791113476
59	0.6789742336
60	0.6787247141
61	0.6784689216
62	0.6778440955
63	0.6777135145
64	0.6776114169
65	0.6774697573
66	0.6772810649
67	0.6767227328
68	0.6765053482
69	0.6762654475
70	0.6760933529
71	0.6758597778
72	0.6756199249
73	0.6754397724
74	0.6751431964
75	0.6750127893
76	0.6748875603
77	0.6747390677
78	0.6745957686
79	0.6743258242
80	0.6741326592
81	0.6739266882
82	0.6736904489
83	0.6734332704
84	0.6733580655
85	0.6731933344
86	0.6727713467
87	0.6724908337
88	0.6724004683
89	0.6723273451
90	0.6721464341
91	0.6720350155
92	0.6719647619
93	0.6717711568
94	0.6716010631
95	0.6714881006
96	0.6712854792
97	0.6711631172
98	0.6710352238
99	0.670348496
100	0.6703107302
101	0.670225541
102	0.6700589389
103	0.6699194667
104	0.6686806532
105	0.668571427
106	0.6683927015
107	0.6683219191
108	0.6681928159
109	0.6680964818
110	0.6679377199
111	0.6678247933
112	0.6676982973
113	0.6675701988
114	0.667453492
115	0.6673898557
116	0.6672281835
117	0.6670803848
118	0.6669607501
119	0.6668574848
120	0.6667104305
121	0.6665979616
122	0.6663211292
123	0.6660560229
124	0.665934761
125	0.6657998928
126	0.6656836571
127	0.6655676299
128	0.6652526869
129	0.6651645381
130	0.6650394086
131	0.6648396908
132	0.6647485443
133	0.6646656607
134	0.6645091843
135	0.6643422397
136	0.6642759491
137	0.664153636
138	0.6640537787
139	0.6640055269
140	0.6638483182
141	0.6637564651
142	0.6636528806
143	0.6635311234
144	0.6634789819
145	0.6632845324
146	0.6631567428
147	0.663046462
148	0.6629101125
149	0.6627221329
150	0.6626193641
151	0.6624597379
152	0.6623136371
153	0.6620801554
154	0.6619845712
155	0.6618907227
156	0.6617326538
157	0.6616514778
158	0.6615175868
159	0.6614353304
160	0.6613488824
161	0.6611384989
162	0.660949481
163	0.6608348923
164	0.6606944583
165	0.6606135567
166	0.6605396297
167	0.6604312599
168	0.6603039226
169	0.6602184173
170	0.6601095748
171	0.6599781047
172	0.6599281466
173	0.6597880462
174	0.6596979584
175	0.6596184616
176	0.6594636991
177	0.6593605999
178	0.6592272896
179	0.6585189987
180	0.6584570829
181	0.6584129586
182	0.6582744263
183	0.6580001208
184	0.6579020378
185	0.6578269766
186	0.6577326309
187	0.6576267896
188	0.6575622773
189	0.6574189408
190	0.6573279898
191	0.6572656483
192	0.6572295355
193	0.6571090131
194	0.6569646506
195	0.6568674932
196	0.6567631525
197	0.6566581915
198	0.6561041604
199	0.6560085072
200	0.65586293
201	0.655735829
202	0.6556894131
203	0.655594279
204	0.6555249082
205	0.6554362452
206	0.655358438
207	0.6553129059
208	0.6552801125
209	0.6552291373
210	0.6551038751
211	0.6549931777
212	0.6549582165
213	0.6548962429
214	0.6548355535
215	0.654751067
216	0.6547273366
217	0.6546834493
218	0.6546403018
219	0.6545727049
220	0.654406169
221	0.6543395493
222	0.6542655802
223	0.6540876024
224	0.6538943973
225	0.6537811234
226	0.6536830043
227	0.6536465613
228	0.6535985573
229	0.653521983
230	0.6534149472
231	0.6532810055
232	0.6532117129
233	0.6531175583
234	0.6530888058
235	0.6530000331
236	0.6529606713
237	0.6528783454
238	0.6528051208
239	0.6527524709
240	0.652704118
241	0.6526300489
242	0.6525157811
243	0.652466987
244	0.6523830926
245	0.6523086332
246	0.6522524134
247	0.6521749054
248	0.6520940494
249	0.6520420314
250	0.6519402137
251	0.6517995066
252	0.651757284
253	0.6516600975
254	0.6516086725
255	0.6515345361
256	0.6514842044
257	0.650566067
258	0.6505273349
259	0.6504640306
260	0.6504045006
261	0.6503392495
262	0.6502964573
