labels,all_crashes,number_of_crashes,center_lat,center_lng
1,0,2,53.513687000000004,49.272512000000006
3,0,3,53.191872333333336,48.501706
8,0,2,53.481786,49.481365499999995
2060,0,2,53.231894,50.2031425
13,0,3,53.19236233333333,50.125045666666665
14,0,3,54.21658033333333,50.442651
21,0,2,53.344713999999996,48.636044999999996
2073,0,2,53.2346905,50.2201065
2074,0,2,53.2129535,48.556494
2077,0,2,53.471498,49.5316635
30,0,4,53.21191325,50.1935505
2078,1,2,53.303192,50.288934
2080,0,2,53.1747725,48.500225
2081,0,2,53.518259,49.312079499999996
2085,0,2,53.238898000000006,50.204789000000005
40,0,3,52.878571,50.857554666666665
44,0,2,53.11707749999999,50.1577525
45,0,2,53.810142,49.1110755
53,0,3,53.53306133333333,49.33609766666667
54,0,2,52.98431,49.433257
57,0,2,53.301014,50.3361715
2107,0,2,53.539928,49.360397500000005
64,3,4,53.360098,51.34661525
2118,0,2,53.206375,50.1952085
76,0,2,52.98452,49.708854
78,0,3,53.237716666666664,50.20346833333333
2129,0,3,53.26404466666667,50.21800633333333
83,0,2,53.21594,48.6495855
84,2,3,53.806854,49.79850833333333
2135,0,3,53.217357,50.187151
89,0,2,53.1945415,50.249450499999995
92,0,3,53.156992,48.477313333333335
97,0,3,53.606963666666665,49.318529
2146,0,2,53.1860815,50.0855815
100,0,2,53.7360015,49.197689499999996
103,1,2,53.419433999999995,50.1275075
2151,0,2,53.2597385,50.291706500000004
111,0,2,53.184985499999996,50.0897135
113,0,3,53.32271633333333,50.310719666666664
2172,0,2,53.184960000000004,50.191469
126,0,2,53.365494,50.198329
130,0,2,53.5216995,49.1889205
137,1,2,54.065214999999995,52.141174500000005
145,0,4,53.50725425,49.446028749999996
153,0,2,53.517593,49.3108745
2201,0,2,53.212079,50.202863
155,0,5,53.5450426,49.3807758
2211,0,3,53.20653266666667,50.235261
176,0,2,53.1635095,48.440097
178,1,2,53.169427999999996,48.579078
187,0,2,53.062920500000004,48.4110105
188,0,2,53.1192785,50.416447500000004
190,0,2,53.7724635,50.897067
2238,0,2,53.508468,49.254616
