type,labels,number_of_crashes,center_lat,center_lng
Светлое время суток,193,2,53.1866985,50.191262
Светлое время суток,1218,2,53.5369015,49.2631845
Светлое время суток,195,3,53.468978,50.190324333333336
Светлое время суток,1220,2,53.206709000000004,50.1277295
Светлое время суток,1217,2,53.2153265,50.253758000000005
Светлое время суток,1223,2,53.5423475,49.387122500000004
Светлое время суток,711,2,53.5127855,49.3060315
Светлое время суток,1224,2,53.317238,50.3037315
Светлое время суток,200,2,53.1571195,48.465618
Светлое время суток,1228,2,53.149138,48.459481
Светлое время суток,717,2,53.1743665,48.499666000000005
Светлое время суток,718,3,53.52756166666667,49.41714533333333
Светлое время суток,716,2,53.200157000000004,50.118999
Светлое время суток,720,3,53.206122,50.193913333333334
Светлое время суток,1235,2,53.192252999999994,50.124928999999995
Светлое время суток,725,2,53.536046,49.3517865
Светлое время суток,1239,2,53.2301755,50.195592500000004
Светлое время суток,729,2,53.5534425,49.2680705
Светлое время суток,734,2,53.204288500000004,50.106643
Светлое время суток,225,2,53.212889,48.555867
Светлое время суток,1249,3,53.506191,49.282806666666666
Светлое время суток,737,3,53.19523366666667,50.218234
Светлое время суток,1253,2,53.5201765,49.426671
Светлое время суток,229,2,53.2071285,50.121364
Светлое время суток,747,2,53.5584415,49.319706
Светлое время суток,235,2,53.2281975,50.2805945
Светлое время суток,751,2,53.513687000000004,49.272512000000006
Светлое время суток,752,2,53.402803000000006,49.531406000000004
Светлое время суток,754,2,53.191893,50.168166
Светлое время суток,245,2,53.083622000000005,50.344157499999994
Светлое время суток,246,3,53.308864,50.23463566666666
Светлое время суток,761,2,53.2357665,50.316993
Светлое время суток,764,4,53.258947750000004,50.213012
Светлое время суток,1277,2,53.247215,50.2165465
Светлое время суток,765,2,53.193881000000005,50.178841
Светлое время суток,768,2,53.205411,50.163003
Светлое время суток,771,2,53.188480999999996,50.127248
Светлое время суток,263,4,53.47840925,49.43976825
Светлое время суток,1287,2,53.216434500000005,50.262876
Светлое время суток,780,3,53.193098,50.102503666666664
Светлое время суток,1296,2,53.544214499999995,49.3312045
