type,labels,number_of_crashes,center_lat,center_lng
Сухое,749,2,53.2539165,50.295088
Сухое,750,2,53.2072305,50.1766365
Сухое,239,2,53.56961750000001,49.2573565
Сухое,1261,4,53.2057335,50.1897125
Сухое,755,2,53.2505225,50.223635
Сухое,244,2,53.192093,50.2120325
Сухое,246,2,53.1853955,50.087065
Сухое,1271,2,53.256862,50.2968425
Сухое,248,3,53.525847666666664,49.312744
Сухое,252,2,53.233778,50.1867345
Сухое,764,2,53.5270055,49.4201845
Сухое,254,2,53.4784435,49.350108000000006
Сухое,767,2,53.231894,50.2031425
Сухое,768,3,53.174774,48.49922433333334
Сухое,1281,2,53.509929,49.430645
Сухое,257,2,53.052081,50.402322999999996
Сухое,259,4,53.2601815,50.291123
Сухое,260,3,53.30453833333333,50.28934233333333
Сухое,774,3,53.221897999999996,50.19013566666667
Сухое,778,4,53.2038645,50.238617250000004
Сухое,1292,2,53.213907,50.255615
Сухое,781,3,53.506191,49.282806666666666
Сухое,1296,2,53.140691000000004,50.1780895
Сухое,273,4,53.21203325,50.2140155
Сухое,787,4,53.21869625,50.26381075
Сухое,1299,2,53.244682,50.2013225
Сухое,1301,2,53.406144,49.475293
Сухое,790,2,53.5343125,49.2831595
Сухое,281,3,53.606963666666665,49.318529
Сухое,798,2,53.1840055,50.096798
Сухое,800,2,53.5783245,49.2944795
Сухое,801,3,53.206208000000004,50.19477233333333
Сухое,803,3,53.51144466666667,49.42204866666667
Сухое,292,2,53.291222000000005,50.2240235
Сухое,804,2,53.5420795,49.333763000000005
Сухое,294,2,53.062920500000004,48.4110105
Сухое,809,3,53.205377666666664,50.16305933333334
Сухое,1323,3,53.092483666666666,50.151951
Сухое,1327,3,53.51810566666666,49.311601333333336
Сухое,820,2,53.46473,49.5352775
Сухое,1335,2,53.117168500000005,50.123034000000004
Сухое,312,3,53.37727433333333,51.377456
Сухое,825,2,53.518776,49.302933499999995
Сухое,314,3,53.254694666666666,50.23221
Сухое,315,3,53.09104833333333,50.15068466666666
Сухое,829,2,53.308503,50.2348245
Сухое,1342,2,53.409244,49.476096999999996
Сухое,1343,2,53.5262835,49.311085
Сухое,1344,2,53.230834,50.251787500000006
Сухое,321,2,53.1530755,48.453044500000004
Сухое,835,2,53.5529705,49.2925475
Сухое,1349,2,53.193407,50.1203905
Сухое,838,2,53.233148,50.235252
Сухое,1350,2,53.5492515,49.332325499999996
Сухое,332,2,53.267041500000005,50.2599285
Сухое,844,3,53.51587133333334,49.407803
Сухое,845,3,53.19353366666667,50.13921933333333
Сухое,336,2,53.268485999999996,50.5924735
