type,labels,number_of_crashes,center_lat,center_lng
Ясно,240,3,53.205531666666666,50.123318
Ясно,753,3,53.23068033333333,50.19594466666667
Ясно,755,2,53.5584415,49.319706
Ясно,243,2,53.159664,50.3856185
Ясно,762,2,53.062508,50.02006
Ясно,763,2,53.2505225,50.223635
Ясно,767,4,53.304255250000004,50.2892925
Ясно,256,2,53.083622000000005,50.344157499999994
Ясно,260,2,53.21594,48.6495855
Ясно,773,3,53.200843,50.20362766666667
Ясно,775,3,53.471607666666664,49.531196333333334
Ясно,1290,2,53.4450715,49.4850955
Ясно,783,2,53.214181999999994,50.202532
Ясно,784,2,53.224299,50.1990215
Ясно,785,3,53.53928033333333,49.40345633333333
Ясно,274,4,53.18052,50.08676775
Ясно,786,2,53.195004499999996,50.217862499999995
Ясно,788,2,53.198792999999995,50.256212500000004
Ясно,789,2,53.536046,49.3517865
Ясно,282,2,54.065214999999995,52.141174500000005
Ясно,796,2,53.260905,50.215367
Ясно,797,2,53.522787,49.415034000000006
Ясно,799,2,53.2539165,50.295088
Ясно,289,2,53.258086500000005,50.243837
Ясно,801,2,53.259924999999996,50.236948999999996
Ясно,291,2,53.606891,49.3185785
Ясно,804,3,53.21543366666667,50.244913333333336
Ясно,805,3,53.24393,50.25400833333333
Ясно,293,2,53.224123500000005,50.287585
Ясно,1316,2,53.206797,50.170494500000004
Ясно,296,2,53.409244,49.476096999999996
Ясно,297,4,53.201606999999996,50.2213955
Ясно,298,2,53.402803000000006,49.531406000000004
Ясно,1325,3,53.19512866666667,50.19060366666667
Ясно,814,2,53.503108,49.290875
Ясно,818,3,53.22547633333333,50.211122333333336
Ясно,307,3,53.37727433333333,51.377456
Ясно,1332,2,53.188272999999995,50.100894499999995
Ясно,309,2,53.240477999999996,50.206993999999995
Ясно,1333,2,53.209264000000005,50.193760999999995
Ясно,1335,2,53.5123215,49.4515835
Ясно,311,2,53.209391499999995,50.152069999999995
Ясно,827,2,53.2065195,50.234761
Ясно,829,3,53.201388333333334,50.213261
Ясно,318,2,53.5782065,49.4027535
Ясно,830,2,53.230834,50.251787500000006
Ясно,1348,2,53.0924285,50.152136999999996
Ясно,836,2,53.284778,50.2823135
Ясно,1353,2,53.5060955,49.282697
Ясно,846,3,53.350762333333336,50.21945433333333
Ясно,1359,2,53.11707749999999,50.1577525
Ясно,848,2,53.19193,50.1999865
Ясно,849,3,53.211886,50.193607666666665
Ясно,336,3,53.33023466666667,50.23153633333334
Ясно,1363,2,53.157709,48.479001
Ясно,852,4,53.21869625,50.26381075
Ясно,847,2,53.515037500000005,49.307907
Ясно,1365,2,53.1870805,50.1796885
Ясно,346,3,52.878571,50.857554666666665
Ясно,859,2,53.5543155,49.2754135
Ясно,1372,2,53.2048145,50.142444999999995
Ясно,347,2,53.540014,49.362618
Ясно,862,2,53.0989535,50.143114499999996
Ясно,1375,2,53.203658,50.1269035
Ясно,351,2,53.5296585,49.27632
Ясно,860,2,53.464784,51.5193775
Ясно,863,2,53.1573575,48.441506
Ясно,349,2,53.140691000000004,50.1780895
Ясно,355,2,53.073995,49.9980345
Ясно,357,3,53.360117333333335,51.34664866666667
Ясно,870,4,53.5158915,49.4077305
Ясно,1374,2,53.533488500000004,49.2824145
Ясно,361,4,53.2038645,50.238617250000004
Ясно,875,2,53.1036645,49.9548125
Ясно,364,2,53.369876000000005,50.189792
Ясно,876,3,53.53382766666667,49.321817
Ясно,366,2,53.506266,49.419169
Ясно,879,4,53.205303,50.18972575
Ясно,877,2,53.233148,50.235252
Ясно,881,3,53.12197066666667,50.08756833333334
Ясно,371,4,53.560342,49.35837525
Ясно,884,2,53.2461505,50.211918
Ясно,885,3,53.222379333333336,50.26927833333333
Ясно,888,3,53.205287999999996,50.129666666666665
Ясно,889,2,53.302347999999995,50.277685000000005
Ясно,890,3,53.317054666666664,50.30377633333333
Ясно,891,2,53.2065165,50.146139000000005
